127.0.0.1 - - [10/Sep/2019:11:35:12 +0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:35:25 +0600] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:35:25 +0600] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:35:41 +0600] "GET /BookStoreWebsite/admin/users HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:36:22 +0600] "GET /BookStoreWebsite/admin/users HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:36:27 +0600] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:36:28 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:41:39 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:43:49 +0600] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:43:49 +0600] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:43:54 +0600] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:43:54 +0600] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:44:02 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:45:02 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:45:02 +0600] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:55:23 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:55:23 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:55:23 +0600] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:56:22 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:56:22 +0600] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:56:52 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4127
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:57:13 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:57:52 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:58:18 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [10/Sep/2019:11:59:39 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [10/Sep/2019:12:00:04 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 2331
0:0:0:0:0:0:0:1 - - [10/Sep/2019:12:00:45 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [10/Sep/2019:12:01:39 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [10/Sep/2019:12:04:46 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 2530
0:0:0:0:0:0:0:1 - - [10/Sep/2019:22:23:55 +0600] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [10/Sep/2019:22:23:55 +0600] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 304 -
